Kernel,X149.093,X149.124,X149.173,X149.213,X149.233,X149.294,X149.394,X149.423,X149.452,X149.513,X149.535,X149.594,X149.613,X149.633,X149.673,X150.032,X150.052,X150.072,X150.091,X150.111,X150.154,X150.173,X150.191,X150.232,X150.273,X150.314,X150.332,X150.373,X150.392
20,3.78,0.63,4.32,2.34,0.99,1.44,5.85,0.72,0.72,1.17,1.17,2.34,1.89,2.43,1.98,4.86,1.17,1.26,2.7,1.62,0.27,2.61,1.71,2.34,0.54,0.99,3.69,0.72,2.88
25,4.95,0.81,5.67,3.06,1.26,1.89,7.56,0.9,0.9,1.53,1.53,3.06,2.43,3.15,2.61,6.3,1.44,1.62,3.51,2.16,0.45,3.42,2.25,3.06,0.72,1.35,4.77,0.9,3.69
30,6.21,1.08,7.11,3.78,1.62,2.43,9.45,1.17,1.17,1.89,1.89,3.78,3.06,3.96,3.24,7.92,1.89,2.07,4.32,2.79,0.54,4.32,2.79,3.78,0.99,1.71,5.85,1.17,4.59
35,7.74,1.35,8.64,4.59,1.98,2.97,11.43,1.44,1.44,2.34,2.25,4.5,3.69,4.95,3.96,9.72,2.25,2.52,5.31,3.42,0.63,5.31,3.33,4.59,1.17,2.07,7.11,1.44,5.49
40,9.36,1.62,10.35,5.4,2.34,3.69,13.5,1.71,1.71,2.88,2.7,5.4,4.5,5.94,4.77,11.7,2.7,2.97,6.3,4.14,0.81,6.39,4.05,5.49,1.35,2.43,8.46,1.71,6.48
45,11.16,1.89,12.24,6.39,2.79,4.41,15.84,2.07,2.07,3.33,3.15,6.3,5.22,7.2,5.67,13.95,3.15,3.51,7.38,5.04,0.99,7.65,4.77,6.48,1.62,2.88,9.9,1.98,7.65
50,13.14,2.25,14.31,7.47,3.33,5.22,18.45,2.43,2.43,3.96,3.69,7.29,6.12,8.55,6.57,16.38,3.69,4.05,8.64,6.03,1.17,9,5.58,7.56,1.89,3.42,11.43,2.34,8.82
55,15.39,2.7,16.74,8.64,3.87,6.12,21.33,2.79,2.79,4.59,4.23,8.37,7.2,10.17,7.65,19.17,4.23,4.68,9.99,7.11,1.35,10.71,6.48,8.73,2.25,3.96,13.14,2.79,10.17
60,18,3.15,19.53,9.99,4.59,7.2,24.57,3.24,3.24,5.4,4.86,9.63,8.28,12.06,8.91,22.32,4.95,5.49,11.61,8.46,1.62,12.6,7.65,10.08,2.61,4.59,15.12,3.24,11.7
65,20.97,3.6,22.77,11.61,5.4,8.55,28.26,3.78,3.78,6.21,5.58,11.16,9.72,14.13,10.26,25.92,5.67,6.3,13.41,10.08,1.89,15.03,8.82,11.7,3.06,5.31,17.28,3.78,13.41
70,24.48,4.23,26.82,13.59,6.3,9.99,32.76,4.41,4.32,7.29,6.48,12.87,11.25,16.56,11.79,29.97,6.57,7.38,15.57,12.06,2.25,18,10.26,13.41,3.51,6.21,19.89,4.32,15.48
75,28.53,4.86,32.04,16.02,7.47,11.97,38.07,5.22,5.04,8.37,7.56,14.94,13.23,19.26,13.59,34.65,7.74,8.55,18.09,14.4,2.7,21.87,11.97,15.39,4.05,7.2,22.95,4.95,18
80,33.57,5.58,38.34,19.08,9.18,14.31,44.82,6.39,5.85,9.72,8.91,17.55,15.57,22.68,15.75,40.23,9.18,10.08,21.24,17.46,3.33,26.82,13.95,17.91,4.68,8.55,26.82,5.67,21.24
85,39.87,6.48,46.44,22.86,11.25,17.64,53.55,7.92,6.84,11.34,10.8,21.06,18.9,26.91,18.54,47.07,11.34,12.24,25.47,21.6,4.05,33.3,16.2,21.06,5.49,10.44,31.68,6.57,25.74
90,48.06,7.65,57.24,27.81,14.58,21.87,65.25,10.35,8.19,13.5,13.68,26.1,23.58,32.58,22.5,56.34,14.58,15.21,31.68,27.63,5.04,41.76,19.26,25.56,6.75,13.32,37.8,7.74,32.13
95,60.84,9.45,74.52,35.37,19.44,28.35,82.8,14.31,10.17,16.92,18.36,34.02,30.96,41.13,28.62,71.1,19.62,20.16,40.95,36.72,6.39,54.54,23.94,32.85,8.64,17.91,47.16,9.63,41.67
