CollarFrequency,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,ratio
X149.093,3.78,4.95,6.21,7.74,9.36,11.16,13.14,15.39,18,20.97,24.48,28.53,33.57,39.87,48.06,60.84,0.21597633136094674
X149.124,0.63,0.81,1.08,1.35,1.62,1.89,2.25,2.7,3.15,3.6,4.23,4.86,5.58,6.48,7.65,9.45,0.2380952380952381
X149.173,4.32,5.67,7.11,8.64,10.35,12.24,14.31,16.74,19.53,22.77,26.82,32.04,38.34,46.44,57.24,74.52,0.1920289855072464
X149.213,2.34,3.06,3.78,4.59,5.4,6.39,7.47,8.64,9.99,11.61,13.59,16.02,19.08,22.86,27.81,35.37,0.21119592875318066
X149.233,0.99,1.26,1.62,1.98,2.34,2.79,3.33,3.87,4.59,5.4,6.3,7.47,9.18,11.25,14.58,19.44,0.17129629629629628
X149.294,1.44,1.89,2.43,2.97,3.69,4.41,5.22,6.12,7.2,8.55,9.99,11.97,14.31,17.64,21.87,28.35,0.1841269841269841
X149.394,5.85,7.56,9.45,11.43,13.5,15.84,18.45,21.33,24.57,28.26,32.76,38.07,44.82,53.55,65.25,82.8,0.22282608695652173
X149.423,0.72,0.9,1.17,1.44,1.71,2.07,2.43,2.79,3.24,3.78,4.41,5.22,6.39,7.92,10.35,14.31,0.169811320754717
X149.452,0.72,0.9,1.17,1.44,1.71,2.07,2.43,2.79,3.24,3.78,4.32,5.04,5.85,6.84,8.19,10.17,0.23893805309734514
X149.513,1.17,1.53,1.89,2.34,2.88,3.33,3.96,4.59,5.4,6.21,7.29,8.37,9.72,11.34,13.5,16.92,0.23404255319148934
X149.535,1.17,1.53,1.89,2.25,2.7,3.15,3.69,4.23,4.86,5.58,6.48,7.56,8.91,10.8,13.68,18.36,0.20098039215686275
X149.594,2.34,3.06,3.78,4.5,5.4,6.3,7.29,8.37,9.63,11.16,12.87,14.94,17.55,21.06,26.1,34.02,0.21428571428571427
X149.613,1.89,2.43,3.06,3.69,4.5,5.22,6.12,7.2,8.28,9.72,11.25,13.23,15.57,18.9,23.58,30.96,0.19767441860465115
X149.633,2.43,3.15,3.96,4.95,5.94,7.2,8.55,10.17,12.06,14.13,16.56,19.26,22.68,26.91,32.58,41.13,0.20787746170678337
X149.673,1.98,2.61,3.24,3.96,4.77,5.67,6.57,7.65,8.91,10.26,11.79,13.59,15.75,18.54,22.5,28.62,0.22955974842767296
X150.032,4.86,6.3,7.92,9.72,11.7,13.95,16.38,19.17,22.32,25.92,29.97,34.65,40.23,47.07,56.34,71.1,0.23037974683544304
X150.052,1.17,1.44,1.89,2.25,2.7,3.15,3.69,4.23,4.95,5.67,6.57,7.74,9.18,11.34,14.58,19.62,0.18807339449541283
X150.072,1.26,1.62,2.07,2.52,2.97,3.51,4.05,4.68,5.49,6.3,7.38,8.55,10.08,12.24,15.21,20.16,0.20089285714285712
X150.091,2.7,3.51,4.32,5.31,6.3,7.38,8.64,9.99,11.61,13.41,15.57,18.09,21.24,25.47,31.68,40.95,0.210989010989011
X150.111,1.62,2.16,2.79,3.42,4.14,5.04,6.03,7.11,8.46,10.08,12.06,14.4,17.46,21.6,27.63,36.72,0.1642156862745098
X150.154,0.27,0.45,0.54,0.63,0.81,0.99,1.17,1.35,1.62,1.89,2.25,2.7,3.33,4.05,5.04,6.39,0.18309859154929578
X150.173,2.61,3.42,4.32,5.31,6.39,7.65,9,10.71,12.6,15.03,18,21.87,26.82,33.3,41.76,54.54,0.16501650165016502
X150.191,1.71,2.25,2.79,3.33,4.05,4.77,5.58,6.48,7.65,8.82,10.26,11.97,13.95,16.2,19.26,23.94,0.23308270676691728
X150.232,2.34,3.06,3.78,4.59,5.49,6.48,7.56,8.73,10.08,11.7,13.41,15.39,17.91,21.06,25.56,32.85,0.23013698630136983
X150.273,0.54,0.72,0.99,1.17,1.35,1.62,1.89,2.25,2.61,3.06,3.51,4.05,4.68,5.49,6.75,8.64,0.21874999999999997
X150.314,0.99,1.35,1.71,2.07,2.43,2.88,3.42,3.96,4.59,5.31,6.21,7.2,8.55,10.44,13.32,17.91,0.19095477386934673
X150.332,3.69,4.77,5.85,7.11,8.46,9.9,11.43,13.14,15.12,17.28,19.89,22.95,26.82,31.68,37.8,47.16,0.24236641221374047
X150.373,0.72,0.9,1.17,1.44,1.71,1.98,2.34,2.79,3.24,3.78,4.32,4.95,5.67,6.57,7.74,9.63,0.24299065420560745
X150.392,2.88,3.69,4.59,5.49,6.48,7.65,8.82,10.17,11.7,13.41,15.48,18,21.24,25.74,32.13,41.67,0.21166306695464362
