Plot_Number,X_dd,Y_dd,Alpha_D
CS_01,-53.97940063,48.35329819,5
CS_02,-53.97990036,48.3506012,5
CS_03,-53.97949982,48.3526001,8
CS_04,-53.97999954,48.34989929,15
CS_05,-53.97919846,48.35400009,8
CS_06,-53.97969818,48.35189819,11
CS_07,-53.97980118,48.35129929,7
CS_08,-53.98070145,48.35340118,3
CS_09,-53.98080063,48.35269928,27
CS_10,-53.98109818,48.35070038,4
CS_11,-53.98089981,48.35200119,7
CS_12,-53.98049927,48.35409927,5
CS_13,-53.98130035,48.34999847,10
CS_14,-53.98099899,48.35129929,4
CS_15,-53.98210144,48.35169983,12
CS_16,-53.98180008,48.35309982,5
CS_17,-53.98199844,48.35240173,10
CS_18,-53.98139954,48.35440063,3
CS_19,-53.9822998,48.35110092,7
CS_20,-53.98249817,48.35039902,7
CS_21,-53.98160172,48.35380173,5
CS_22,-53.98350143,48.35129929,8
CS_23,-53.98279953,48.35409927,7
CS_24,-53.9836998,48.35070038,6
CS_25,-53.98300171,48.35340118,10
CS_26,-53.98339844,48.35200119,7
CS_27,-53.98389816,48.34999847,7
CS_28,-53.98320007,48.35269928,15
CS_29,-53.98490143,48.3526001,5
CS_30,-53.98519897,48.35129929,9
CS_31,-53.98540115,48.3506012,10
CS_32,-53.98509979,48.35200119,7
CS_33,-53.98460007,48.35400009,5
CS_34,-53.9844017,48.35469818,5
CS_35,-53.98469925,48.35329819,6
CS_36,-53.9858017,48.35419846,7
CS_37,-53.98649979,48.35150146,21
CS_38,-53.98619843,48.35279846,6
CS_39,-53.9864006,48.35210037,6
CS_40,-53.98600006,48.35350037,7
CS_41,-53.98690033,48.35010147,21
CS_42,-53.98669815,48.35079956,6
CS_43,-53.98770142,48.35329819,12
CS_44,-53.98820114,48.3506012,8
CS_45,-53.98799896,48.35189819,12
CS_46,-53.9878006,48.3526001,6
CS_47,-53.98759842,48.35400009,15
CS_48,-53.98809814,48.35129929,10
CS_49,-53.98429871,48.34960175,2
CS_50,-53.98320007,48.34949875,8
CS_51,-53.98830032,48.34980011,14
CS_52,-53.98730087,48.34980011,11
CS_53,-53.98630142,48.34970093,9
CS_54,-53.98529816,48.34960175,9
CS_55,-53.9822998,48.34949875,8
CS_56,-53.98149872,48.34939957,8
CS_57,-53.98080063,48.34939957,2
CS_58,-53.98020172,48.34939957,3
CS_59,-53.98749924,48.35540009,17
CS_60,-53.98059845,48.35499954,8
CS_61,-53.98139954,48.35499954,4
CS_62,-53.9822998,48.35509872,15
CS_63,-53.98339844,48.35509872,18
CS_64,-53.98540115,48.35520172,8
CS_65,-53.9844017,48.35520172,11
CS_66,-53.97990036,48.35490036,5
CS_67,-53.9864006,48.3553009,7
CS_68,-53.97919846,48.35490036,11
CS_69,-53.97930145,48.35449982,5
CS_70,-53.98749924,48.35499954,8
CS_71,-53.98759842,48.35449982,15
CS_72,-53.98669815,48.35490036,5
