"","Plot_Number","Alpha_D","X_dd","Y_dd","UTMZone"
"1","CS_01",5,279283.339471241,5359859.15412693,22
"2","CS_02",5,279234.663829655,5359560.86333315,22
"3","CS_03",8,279272.974676058,5359781.85748633,22
"4","CS_04",15,279224.282493622,5359483.14220927,22
"5","CS_05",8,279301.348511617,5359936.57755053,22
"6","CS_06",11,279255.247167196,5359704.42205271,22
"7","CS_07",7,279245.028483683,5359638.15993867,22
"8","CS_08",3,279187.429030291,5359874.34831215,22
"9","CS_09",27,279177.047191668,5359796.62835203,22
"10","CS_10",4,279146.361794354,5359575.33784808,22
"11","CS_11",7,279166.68166034,5359719.33183524,22
"12","CS_12",5,279205.423636058,5359951.34801745,22
"13","CS_13",10,279128.34996392,5359497.91374151,22
"14","CS_14",4,279156.299484348,5359641.61191139,22
"15","CS_15",12,279076.367186312,5359689.30438411,22
"16","CS_16",5,279104.746616458,5359844.02362502,22
"17","CS_17",10,279087.033411253,5359767.01318266,22
"18","CS_18",3,279140.042364163,5359987.43467398,22
"19","CS_19",7,279059.082433179,5359623.31640689,22
"20","CS_20",7,279041.351014941,5359545.88269293,22
"21","CS_21",5,279122.475976351,5359921.45865225,22
"22","CS_22",8,278970.928721461,5359648.82818528,22
"23","CS_23",7,279035.038907127,5359957.97985152,22
"24","CS_24",6,278953.641912364,5359582.84052007,22
"25","CS_25",10,279017.041971913,5359880.98061554,22
"26","CS_26",7,278981.59567311,5359726.53685697,22
"27","CS_27",7,278935.909669732,5359505.40595137,22
"28","CS_28",15,278999.311133339,5359803.54698511,22
"29","CS_29",5,278872.855182663,5359797.43374017,22
"30","CS_30",9,278845.181764628,5359653.72682519,22
"31","CS_31",10,278827.181709504,5359576.72811317,22
"32","CS_32",7,278855.568220412,5359731.44631086,22
"33","CS_33",5,278901.239992724,5359952.15213873,22
"34","CS_34",5,278918.956188267,5360029.1620506,22
"35","CS_35",6,278890.854239132,5359874.4325787,22
"36","CS_36",7,278813.092066257,5359977.66655547,22
"37","CS_37",21,278749.69816132,5359679.95071865,22
"38","CS_38",6,278777.640421409,5359823.22278803,22
"39","CS_39",6,278759.640464353,5359746.22423266,22
"40","CS_40",7,278795.375073234,5359900.65690134,22
"41","CS_41",21,278713.961607348,5359525.51941254,22
"42","CS_42",6,278731.963303752,5359602.51781253,22
"43","CS_43",12,278668.474285578,5359883.10133488,22
"44","CS_44",8,278619.766891158,5359584.81479361,22
"45","CS_45",12,278640.365857272,5359728.37176085,22
"46","CS_46",6,278658.101818381,5359805.80553115,22
"47","CS_47",15,278679.146053692,5359960.80954627,22
"48","CS_48",10,278630.422927848,5359662.0994961,22
"49","CS_49",2,278904.520277182,5359462.47220436,22
"50","CS_50",8,278985.460092347,5359447.85552383,22
"51","CS_51",14,278608.947145519,5359496.07215683,22
"52","CS_52",11,278682.984543946,5359493.18465801,22
"53","CS_53",9,278756.592287801,5359479.27574543,22
"54","CS_54",9,278830.482567106,5359465.35679978,22
"55","CS_55",8,279052.150850654,5359445.25896488,22
"56","CS_56",8,279111.064787723,5359431.92676336,22
"57","CS_57",2,279162.778440214,5359429.91441303,22
"58","CS_58",3,279207.144962788,5359428.18834021,22
"59","CS_59",17,278692.560432273,5360116.1122808,22
"60","CS_60",8,279201.970115826,5360051.68559124,22
"61","CS_61",4,279142.632866311,5360053.99468488,22
"62","CS_62",15,279076.379158801,5360067.61276495,22
"63","CS_63",18,278995.00236448,5360070.78149561,22
"64","CS_64",8,278847.106808197,5360088.00770589,22
"65","CS_65",11,278921.136385679,5360085.12307691,22
"66","CS_66",5,279253.249318497,5360038.6514997,22
"67","CS_67",7,278773.506952304,5360101.91569094,22
"68","CS_68",11,279305.239610317,5360036.62929973,22
"69","CS_69",5,279295.879799572,5359992.41186604,22
"70","CS_70",8,278690.824345293,5360071.59708357,22
"71","CS_71",15,278681.312052185,5360016.34712355,22
"72","CS_72",5,278749.731801748,5360058.26087002,22
