Kernel,X149.093,X149.124,X149.173,X149.213,X149.233,X149.294,X149.394,X149.423,X149.452,X149.513,X149.535,X149.555,X149.594,X149.613,X149.633,X149.673,X150.032,X150.052,X150.072,X150.091,X150.111,X150.132,X150.154,X150.173,X150.191,X150.232,X150.273,X150.314,X150.332,X150.373,X150.392
20,3.42,0.63,3.69,2.07,0.9,1.08,6.75,0.63,0.54,1.17,1.26,0.99,2.34,1.35,2.43,1.44,4.5,1.17,1.26,2.61,1.44,3.78,0.27,2.34,1.62,1.8,0.45,1.08,3.33,0.9,2.61
25,4.5,0.81,4.77,2.7,1.17,1.53,8.64,0.9,0.81,1.53,1.62,1.26,2.97,1.8,3.24,1.89,5.94,1.62,1.71,3.33,1.89,4.86,0.36,3.06,2.16,2.34,0.63,1.35,4.32,1.08,3.42
30,5.76,1.08,5.85,3.33,1.44,1.89,10.62,1.08,0.99,1.98,2.07,1.62,3.69,2.34,4.05,2.34,7.47,1.98,2.07,4.23,2.43,6.12,0.45,3.78,2.7,2.97,0.81,1.71,5.31,1.35,4.23
35,7.11,1.35,7.02,4.05,1.8,2.34,12.69,1.35,1.17,2.43,2.43,1.98,4.41,2.79,4.95,2.88,9.09,2.43,2.52,5.13,2.97,7.56,0.54,4.68,3.33,3.6,0.99,2.07,6.48,1.71,5.22
40,8.55,1.62,8.28,4.86,2.16,2.88,14.94,1.62,1.44,2.88,2.88,2.34,5.22,3.42,6.03,3.42,10.89,2.88,3.06,6.12,3.69,9.09,0.63,5.67,3.96,4.32,1.17,2.52,7.65,1.98,6.21
45,10.26,1.98,9.63,5.67,2.61,3.42,17.28,1.89,1.8,3.42,3.42,2.79,6.12,3.96,7.11,4.05,12.96,3.33,3.6,7.11,4.41,10.89,0.72,6.75,4.68,5.04,1.44,2.97,8.91,2.34,7.29
50,12.06,2.34,11.07,6.66,3.06,4.05,19.89,2.25,2.07,4.05,3.96,3.33,7.11,4.68,8.37,4.77,15.21,3.87,4.23,8.37,5.31,12.96,0.9,8.01,5.49,5.94,1.71,3.42,10.35,2.7,8.46
55,14.04,2.79,12.78,7.74,3.51,4.86,22.77,2.7,2.43,4.68,4.5,3.87,8.19,5.4,9.81,5.49,17.73,4.5,4.86,9.63,6.39,15.39,1.08,9.54,6.3,6.93,1.98,4.05,11.97,3.15,9.81
60,16.2,3.24,14.58,8.91,4.14,5.76,26.01,3.06,2.88,5.49,5.13,4.5,9.45,6.3,11.43,6.3,20.61,5.22,5.67,11.25,7.56,18,1.26,11.34,7.38,8.01,2.34,4.68,13.77,3.6,11.16
65,18.63,3.78,16.65,10.35,4.77,6.75,29.61,3.6,3.42,6.39,5.94,5.31,10.89,7.38,13.41,7.38,23.85,5.94,6.57,12.96,9,20.88,1.53,13.59,8.46,9.27,2.79,5.4,15.75,4.14,12.69
70,21.33,4.32,19.17,11.97,5.67,8.1,33.84,4.23,3.96,7.38,6.75,6.21,12.6,8.55,15.66,8.55,27.45,6.84,7.65,15.03,10.8,24.12,1.8,16.47,9.81,10.8,3.24,6.3,18.18,4.77,14.49
75,24.57,5.04,22.14,14.04,6.57,9.63,38.88,5.04,4.68,8.46,7.83,7.2,14.67,9.9,18.63,9.99,31.68,8.01,9,17.46,12.87,27.72,2.16,20.61,11.43,12.51,3.78,7.38,21.06,5.4,16.65
80,28.53,5.76,26.01,16.74,8.01,11.61,45.27,6.21,5.49,9.81,9.09,8.37,17.19,11.61,22.23,11.61,36.72,9.45,10.62,20.52,15.48,32.13,2.61,26.01,13.41,14.4,4.32,8.73,24.75,6.12,19.08
85,33.84,6.75,31.32,20.52,9.63,14.31,53.55,7.83,6.48,11.43,10.89,9.72,20.43,13.77,27,13.59,42.93,11.7,12.78,24.66,19.17,37.53,3.15,32.67,15.75,16.83,5.04,10.62,29.07,7.02,22.5
90,40.95,7.92,38.52,25.65,11.79,17.82,65.16,10.62,7.74,13.59,13.86,11.61,24.93,16.74,33.03,16.29,51.3,14.85,15.84,30.96,24.39,44.82,3.96,41.13,18.81,20.07,6.12,13.59,34.56,8.28,27.27
95,51.75,9.72,50.49,33.57,15.21,22.95,82.53,15.12,9.72,17.01,18.99,14.58,32.04,21.33,42.03,20.43,64.71,19.98,20.97,40.23,32.13,56.43,5.22,53.73,23.4,25.2,7.83,18.18,42.93,10.17,35.19
